Key,EN,PT_BR,ES,FR,DE,JA,ZH_CN
ui_start_game,Start Game,Iniciar Jogo,Iniciar Juego,Commencer,Spiel Starten,ゲーム開始,开始游戏
ui_continue,Continue,Continuar,Continuar,Continuer,Weiter,続ける,继续
ui_options,Options,Opções,Opciones,Options,Optionen,オプション,选项
ui_exit,Exit,Sair,Salir,Quitter,Beenden,終了,退出
ui_language,Language,Idioma,Idioma,Langue,Sprache,言語,语言
ui_audio,Audio,Áudio,Audio,Audio,Audio,オーディオ,音频
ui_video,Video,Vídeo,Video,Vidéo,Video,ビデオ,视频
ui_back,Back,Voltar,Volver,Retour,Zurück,戻る,返回
ui_save,Save,Salvar,Guardar,Sauvegarder,Speichern,保存,保存
ui_load,Load,Carregar,Cargar,Charger,Laden,ロード,加载
ui_pause,Pause,Pausar,Pausar,Pause,Pause,一時停止,暂停
ui_resume,Resume,Retomar,Reanudar,Reprendre,Fortsetzen,再開,继续
ui_restart,Restart,Reiniciar,Reiniciar,Redémarrer,Neustart,再起動,重新开始
ui_menu,Menu,Menu,Menú,Menu,Menü,メニュー,菜单
ui_inventory,Inventory,Inventário,Inventario,Inventaire,Inventar,インベントリ,库存
ui_fullscreen,Fullscreen,Tela Cheia,Pantalla Completa,Plein écran,Vollbild,全画面,全屏
ui_windowed,Windowed,Janela,Ventana,Fenêtre,Fenster,ウィンドウ,窗口
ui_volume,Volume,Volume,Volumen,Volume,Lautstärke,音量,音量
ui_music,Music,Música,Música,Musique,Musik,音楽,音乐
ui_sfx,Sound Effects,Efeitos Sonoros,Efectos de Sonido,Effets Sonores,Soundeffekte,効果音,音效
ui_on,On,Ligado,Activado,Activé,An,オン,开
ui_off,Off,Desligado,Desactivado,Désactivé,Aus,オフ,关
ui_yes,Yes,Sim,Sí,Oui,Ja,はい,是
ui_no,No,Não,No,Non,Nein,いいえ,否
ui_confirm,Confirm,Confirmar,Confirmar,Confirmer,Bestätigen,確認,确认
ui_cancel,Cancel,Cancelar,Cancelar,Annuler,Abbrechen,キャンセル,取消
ui_apply,Apply,Aplicar,Aplicar,Appliquer,Anwenden,適用,应用
ui_reset,Reset,Redefinir,Restablecer,Réinitialiser,Zurücksetzen,リセット,重置
ui_controls,Controls,Controles,Controles,Contrôles,Steuerung,操作方法,控制
ui_interact,Interact,Interagir,Interactuar,Interagir,Interagieren,相互作用,互动
ui_attack,Attack,Atacar,Atacar,Attaquer,Angreifen,攻撃,攻击
ui_jump,Jump,Pular,Saltar,Sauter,Springen,ジャンプ,跳跃
ui_crouch,Crouch,Agachar,Agacharse,S'accroupir,Ducken,しゃがむ,蹲下
ui_use_item,Use Item,Usar Item,Usar Objeto,Utiliser l'objet,Gegenstand verwenden,アイテムを使う,使用物品
ui_next_item,Next Item,Próximo Item,Siguiente Objeto,Objet suivant,Nächster Gegenstand,次のアイテム,下一个物品
ui_prev_item,Previous Item,Item Anterior,Objeto Anterior,Objet précédent,Vorheriger Gegenstand,前のアイテム,上一个物品
msg_saved,Game saved successfully,Jogo salvo com sucesso,Juego guardado con éxito,Jeu sauvegardé avec succès,Spiel erfolgreich gespeichert,ゲームが正常に保存されました,游戏成功保存
msg_loaded,Game loaded successfully,Jogo carregado com sucesso,Juego cargado con éxito,Jeu chargé avec succès,Spiel erfolgreich geladen,ゲームが正常に読み込まれました,游戏成功加载
msg_item_full,Inventory is full,Inventário está cheio,Inventario lleno,Inventaire plein,Inventar ist voll,インベントリがいっぱいです,库存已满
msg_save_error,Failed to save game,Falha ao salvar jogo,Error al guardar el juego,Échec de la sauvegarde du jeu,Fehler beim Speichern des Spiels,ゲームの保存に失敗しました,保存游戏失败
msg_no_save,No save file found,Nenhum arquivo de jogo encontrado,No se encontró ningún archivo de guardado,Aucun fichier de sauvegarde trouvé,Keine Speicherdatei gefunden,セーブファイルが見つかりません,找不到存档文件
msg_new_ability,New ability unlocked,Nova habilidade desbloqueada,Nueva habilidad desbloqueada,Nouvelle capacité débloquée,Neue Fähigkeit freigeschaltet,新しいアビリティがロック解除されました,新能力已解锁
dialog_fairy_greeting_01,Hello little one! Are you lost?,Olá pequenino! Você está perdido?,¡Hola pequeño! ¿Estás perdido?,Bonjour petit! Es-tu perdu?,Hallo Kleiner! Bist du verloren?,こんにちは小さな子！迷子になったの？,你好小家伙！你迷路了吗？
dialog_fairy_greeting_02,I haven't seen a white slime before...,Nunca vi um slime branco antes...,Nunca he visto un slime blanco antes...,Je n'ai jamais vu de slime blanc auparavant...,Ich habe noch nie einen weißen Schleim gesehen...,白いスライムは見たことがないわ...,我以前从未见过白色史莱姆...
dialog_old_slime_01,Ah... another young slime on an adventure?,Ah... mais um jovem slime em uma aventura?,Ah... ¿otro joven slime en una aventura?,Ah... un autre jeune slime en aventure?,Ah... noch ein junger Schleim auf Abenteuer?,ああ...また冒険に出る若いスライムかい？,啊...又一个踏上冒险的年轻史莱姆？
dialog_old_slime_02,In my days we didn't have the luxury of absorbing elements...,No meu tempo não tínhamos o luxo de absorver elementos...,En mis días no teníamos el lujo de absorber elementos...,De mon temps nous n'avions pas le luxe d'absorber des éléments...,In meiner Zeit hatten wir nicht den Luxus Elemente zu absorbieren...,私の時代は要素を吸収する贅沢はなかったよ...,在我那个年代，我们可没有吸收元素的奢侈...
desc_item_apple,A juicy red apple. Restores 10 health.,Uma maçã vermelha suculenta. Restaura 10 de saúde.,Una jugosa manzana roja. Restaura 10 de salud.,Une pomme rouge juteuse. Restaure 10 points de vie.,Ein saftiger roter Apfel. Stellt 10 Gesundheit wieder her.,みずみずしい赤いりんご。体力を10回復する。,一个多汁的红苹果。恢复10点健康值。
desc_item_crystal,A glowing crystal with elemental power.,Um cristal brilhante com poder elemental.,Un cristal brillante con poder elemental.,Un cristal brillant avec un pouvoir élémental.,Ein leuchtender Kristall mit elementarer Kraft.,エレメンタルパワーを持つ輝く結晶。,一块具有元素力量的发光水晶。
desc_ability_fire,Ignite objects and enemies with fire energy.,Incendeia objetos e inimigos com energia de fogo.,Incendia objetos y enemigos con energía de fuego.,Enflamme objets et ennemis avec l'énergie de feu.,Zündet Objekte und Feinde mit Feuerenergie an.,火のエネルギーで物体や敵を発火させる。,用火能量点燃物体和敌人。
desc_ability_water,Create water streams and grow plants.,Cria correntes de água e faz plantas crescerem.,Crea corrientes de agua y hace crecer plantas.,Crée des cours d'eau et fait pousser des plantes.,Erschafft Wasserströme und lässt Pflanzen wachsen.,水流を作り、植物を成長させる。,创造水流并使植物生长。
